web-scraper-order,web-scraper-start-url,month,about,headlines,sentiment,category
1720775606-1,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,Kudumbashree workshop on broiler production today,positive,other
1720775606-2,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,Suryakiran aerobatic display on Feb. 5,positive,other
1720775606-3,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,NIPUN Bharat Mission: workshop begins for SSK’s district BRC personnel,positive,other
1720775606-4,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,Youth sentenced to life imprisonment for murder,negative,criminal
1720775606-5,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Other States,Privilege motion moved against Rajasthan BJP MLA for plea in High Court,negative,other
1720775606-6,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Mangaluru,Nine more medicos granted bail in Mangaluru drug racket case,negative,other
1720775606-7,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Bengaluru,Youth arrested for sexually assaulting and killing toddler,negative,criminal
1720775606-8,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kochi,Subash Park in Kochi gets its old charm back,positive,other
1720775606-9,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Other States,"Kashmir’s prominent business family, Neudos, faces bulldozer during government drive against ‘encroachers’",negative,political
1720775606-10,https://www.thehindu.com/archive/web/2023/01/31/,Jan,India,Supreme Court to hear in March pleas challenging constitutionality of electoral bonds scheme,positive,other
1720775606-11,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Bengaluru,Citizens gather to oppose widening of Sankey Road,negative,other
1720775606-12,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Tamil Nadu,Lalitha Chandran of Bombay sisters dies at 84 in Chennai,negative,other
1720775606-13,https://www.thehindu.com/archive/web/2023/01/31/,Jan,India,Many local residents in south Kashmir showed up with Tricolours for Bharat Jodo Yatra,positive,other
1720775606-14,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Economy,Self Help Groups can help in widening women’s labour force participation: Economic Survey 2022-23,positive,other
1720775606-15,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,Frequent leopard sightings spark panic among Kottiyoor residents,negative,other
1720775606-16,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Coimbatore,"Pharmacy owner in Coimbatore gets 10 years RI, ₹1.80 crore fine in investment scam",negative,business
1720775606-17,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Karnataka,Kampli Utsav to be celebrated on February 12,positive,other
1720775606-18,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Other States,CBI searches 50 locations in Himachal paper-leak cases,negative,other
1720775606-19,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Karnataka,"BJP is a party with no leadership and clear direction in Karnataka, says Priyank Kharge",negative,other
1720775606-20,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Telangana,"Utilities ready to meet load beyond 15,500 MW this season: Minister",positive,other
1720775606-21,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Karnataka,"Priority to farmers in State Budget, says Karnataka Chief Minister Basavaraj Bommai",positive,other
1720775606-22,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Karnataka,Equestrian statue of Basaveshwara shifted in late-night operation in Hubballi,negative,other
1720775606-23,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Telangana,International Media Day celebrations held,positive,other
1720775606-24,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Economy,₹1.56-lakh-crore GST mop-up in January second highest so far,negative,other
1720775606-25,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,Project to familiarise students with heritage will be considered: Minister,positive,other
1720775606-26,https://www.thehindu.com/archive/web/2023/01/31/,Jan,India,"SC to hear separately pleas on electoral bonds, FCRA amendments, bringing parties under RTI",negative,other
1720775606-27,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Telangana,Building collapse,negative,other
1720775606-28,https://www.thehindu.com/archive/web/2023/01/31/,Jan,India,Don’t take up Data Bill till House debates it: Centre,negative,political
1720775606-29,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Environment,India needs global finance to achieve climate goals,negative,business
1720775606-30,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Madurai,Jewellery shop owner murdered,negative,criminal
1720775606-31,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,Govt. will intensify anti-rabies vaccination: Chinchurani,positive,other
1720775606-32,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Coimbatore,Villupuram youth arrested for uploading morphed photos of woman on social media,negative,criminal
1720775606-33,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Chennai,Youth hacked to death in Vinayagapuram near Puzhal,negative,other
1720775606-34,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Tamil Nadu,"Seeman should stop making claims about those who are no more, says Congress floor leader K. Selvaperunthagai",negative,political
1720775606-35,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Tamil Nadu,"Response to empty liquor bottle buyback scheme is over 90% in eight out of 10 districts, Tasmac tells HC",negative,other
1720775606-36,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Economy,Explained | The funding and demand for MGNREGA,positive,other
1720775606-37,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Other States,"14 dead, several injured in a major fire at a multi-storey building in Jharkhand’s Dhanbad",negative,other
1720775606-38,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Andhra Pradesh,"MLA, Collector distribute prizes to winners in Amaravati Balotsav",positive,other
1720775606-39,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Business,OCEN may democratise lending to small borrowers in India: Economic Survey,positive,other
1720775606-40,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,Higher Education curriculum committee holds first meeting,positive,other
1720775609-41,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Karnataka,WDO delegation holds discussion on design policy,positive,political
1720775609-42,https://www.thehindu.com/archive/web/2023/01/30/,Jan,India,Russia's Lavrov to participate in G-20 Foreign Ministers meeting in New Delhi on March 1-2,positive,other
1720775609-43,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Chennai,T.N. DGP expresses displeasure over lethargic attitude of SP,negative,other
1720775609-44,https://www.thehindu.com/archive/web/2023/01/30/,Jan,India,"Pay PF, gratuity to ex-workmen, employees of Jet Airways, SC tells consortium",positive,other
1720775609-45,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Tamil Nadu,"DMK panchayat president arrested for abusing Dalit youth in Salem, suspended from party",negative,criminal
1720775609-46,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Other States,"Raipur court convicts man for murdering parents, burying them in garden",negative,criminal
1720775609-47,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Bengaluru,Wastewater testing can help predict spread of COVID-19: Study,positive,health
1720775609-48,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Tripura,"Denied seat, Tripura BJP MLA and leaders quit party",negative,other
1720775609-49,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kerala,"Biennale offers a memorable experience, says Rajeeve",positive,other
1720775609-50,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Bengaluru,Protest against another Orchids school in Bengaluru over lack of CBSE affiliation,negative,other
1720775609-51,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kerala,Food poisoning: kitchen at Muvattupuzha hostel shut down,negative,other
1720775609-52,https://www.thehindu.com/archive/web/2023/01/30/,Jan,India,"Punjab regimental centre, CRPF named best marching contingents at RD parade",positive,other
1720775609-53,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kerala,Month-long drive to ensure pedestrian safety,positive,other
1720775609-54,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kerala,Cancer detection camp at Cotton Hill GHSS,positive,other
1720775609-55,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Karnataka,"PM Narendra Modi to visit Bengaluru, Tumakuru on February 6",positive,other
1720775609-56,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Karnataka,The Hindu International Education Fair opens with huge response,positive,other
1720775609-57,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kochi,Martyrdom of Mahatma Gandhi commemorated,positive,other
1720775609-58,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kochi,CBI files chargesheet in Karipur gold smuggling case,negative,other
1720775609-59,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Chennai,New team will oversee Greater Chennai Corporation’s GIS division from March,positive,other
1720775609-60,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Other States,"FIR against Samajwadi Party leader, OBC Mahasabha members for burning pages of Ramcharitmanas",negative,other
1720775609-61,https://www.thehindu.com/archive/web/2023/01/30/,Jan,India,NIA court awards death sentence to Murtaza Abbasi in Gorakhnath temple attack case,positive,other
1720775609-62,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Karnataka,"DKS, others attend finale of Bharat Jodo Yatra",positive,other
1720775609-63,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Chennai,Greater Chennai Corporation and CMDA to begin using the same version of planning approval software soon,positive,technology
1720775609-64,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Madurai,Mahatma Gandhi remembered on his death anniversary,positive,other
